# huffyuv.dll record 08 — v1x-codes-set-a            
# Source binary (primary): system32/huffyuv.dll  (PE32+ x86-64, 55,296 B)
# SHA-256: c2810bd0d3737025c92f505733dff6538da2ac4e4cae7e62f7aae1967476efc8
# Source RVA (x86-64): 0x1000aa10
# File offset (x86-64): 0x00009410
# Encoded size (bytes): 256
# Shape: v1.x raw 256-byte non-canonical Huffman code array (set A)
# Cross-arch verification (i386, syswow64/huffyuv.dll, SHA-256 a8511c530ac83d15225d3eeebf764513fcbad98a1d51994e3c2aebd8e26404e9):
#   i386 RVA: 0x10007530   file offset: 0x00006530   bytes: byte-identical to x86-64
# Tool: xxd (extracted by tables/extract-huffyuv-records.sh)
# Format: CSV: index,code_byte (uppercase hex 0xXX)
index,code_byte
0,0x03
1,0x09
2,0x05
3,0x0C
4,0x0A
5,0x23
6,0x20
7,0x1D
8,0x1B
9,0x32
10,0x30
11,0x2D
12,0x2C
13,0x29
14,0x27
15,0x25
16,0x49
17,0x46
18,0x44
19,0x41
20,0x40
21,0x3D
22,0x3A
23,0x38
24,0x35
25,0x32
26,0x31
27,0x2E
28,0x2C
29,0x29
30,0x26
31,0x24
32,0x44
33,0x41
34,0x3F
35,0x3D
36,0x3A
37,0x37
38,0x35
39,0x33
40,0x30
41,0x2E
42,0x2D
43,0x2B
44,0x29
45,0x27
46,0x26
47,0x24
48,0x23
49,0x21
50,0x20
51,0x1E
52,0x1D
53,0x1B
54,0x1A
55,0x19
56,0x30
57,0x2F
58,0x2E
59,0x2C
60,0x2B
61,0x29
62,0x28
63,0x27
64,0x25
65,0x24
66,0x23
67,0x22
68,0x20
69,0x1F
70,0x1E
71,0x1C
72,0x1B
73,0x1A
74,0x18
75,0x17
76,0x16
77,0x14
78,0x13
79,0x25
80,0x23
81,0x22
82,0x21
83,0x1F
84,0x1E
85,0x1D
86,0x1B
87,0x1A
88,0x18
89,0x17
90,0x15
91,0x14
92,0x12
93,0x11
94,0x0F
95,0x1D
96,0x1B
97,0x1A
98,0x18
99,0x16
100,0x15
101,0x13
102,0x11
103,0x10
104,0x0E
105,0x1A
106,0x19
107,0x17
108,0x15
109,0x13
110,0x12
111,0x10
112,0x0F
113,0x1B
114,0x19
115,0x17
116,0x15
117,0x13
118,0x11
119,0x10
120,0x0E
121,0x1A
122,0x19
123,0x17
124,0x15
125,0x12
126,0x11
127,0x0E
128,0x0C
129,0x11
130,0x13
131,0x0D
132,0x04
133,0x09
134,0x02
135,0x0B
136,0x01
137,0x07
138,0x08
139,0x00
140,0x10
141,0x03
142,0x0E
143,0x06
144,0x0C
145,0x0A
146,0x05
147,0x0F
148,0x12
149,0x0B
150,0x0A
151,0x0D
152,0x0F
153,0x10
154,0x13
155,0x14
156,0x16
157,0x18
158,0x1B
159,0x0F
160,0x12
161,0x14
162,0x16
163,0x18
164,0x1A
165,0x0E
166,0x11
167,0x14
168,0x16
169,0x18
170,0x1B
171,0x0F
172,0x12
173,0x14
174,0x17
175,0x19
176,0x1C
177,0x10
178,0x13
179,0x16
180,0x19
181,0x1C
182,0x20
183,0x24
184,0x15
185,0x19
186,0x1D
187,0x21
188,0x26
189,0x2A
190,0x2D
191,0x31
192,0x1C
193,0x1F
194,0x22
195,0x25
196,0x28
197,0x2A
198,0x2C
199,0x2F
200,0x31
201,0x32
202,0x34
203,0x36
204,0x38
205,0x39
206,0x3B
207,0x3C
208,0x3E
209,0x40
210,0x42
211,0x43
212,0x45
213,0x23
214,0x25
215,0x27
216,0x28
217,0x2A
218,0x2B
219,0x2D
220,0x2F
221,0x30
222,0x33
223,0x34
224,0x36
225,0x37
226,0x39
227,0x3B
228,0x3C
229,0x3E
230,0x3F
231,0x42
232,0x43
233,0x45
234,0x47
235,0x48
236,0x26
237,0x28
238,0x2A
239,0x2B
240,0x2E
241,0x2F
242,0x31
243,0x33
244,0x1A
245,0x1C
246,0x1E
247,0x1F
248,0x21
249,0x22
250,0x12
251,0x13
252,0x0B
253,0x0D
254,0x07
255,0x08
