# huffyuv.dll record 09 — v1x-codes-set-b            
# Source binary (primary): system32/huffyuv.dll  (PE32+ x86-64, 55,296 B)
# SHA-256: c2810bd0d3737025c92f505733dff6538da2ac4e4cae7e62f7aae1967476efc8
# Source RVA (x86-64): 0x1000ab10
# File offset (x86-64): 0x00009510
# Encoded size (bytes): 256
# Shape: v1.x raw 256-byte non-canonical Huffman code array (set B)
# Cross-arch verification (i386, syswow64/huffyuv.dll, SHA-256 a8511c530ac83d15225d3eeebf764513fcbad98a1d51994e3c2aebd8e26404e9):
#   i386 RVA: 0x10007630   file offset: 0x00006630   bytes: byte-identical to x86-64
# Tool: xxd (extracted by tables/extract-huffyuv-records.sh)
# Format: CSV: index,code_byte (uppercase hex 0xXX)
index,code_byte
0,0x03
1,0x01
2,0x02
3,0x02
4,0x02
5,0x02
6,0x03
7,0x03
8,0x07
9,0x05
10,0x07
11,0x05
12,0x08
13,0x06
14,0x0B
15,0x09
16,0x07
17,0x0D
18,0x0B
19,0x0A
20,0x09
21,0x08
22,0x07
23,0x05
24,0x09
25,0x07
26,0x06
27,0x04
28,0x07
29,0x05
30,0x08
31,0x07
32,0x0B
33,0x08
34,0x0D
35,0x0B
36,0x13
37,0x0F
38,0x16
39,0x17
40,0x14
41,0x21
42,0x20
43,0x1C
44,0x1B
45,0x1D
46,0x33
47,0x4D
48,0x2B
49,0x2D
50,0x4C
51,0x51
52,0x2E
53,0x52
54,0x4B
55,0x37
56,0x38
57,0x90
58,0x3A
59,0x50
60,0x3C
61,0x4A
62,0x93
63,0x3F
64,0x8F
65,0x41
66,0x42
67,0x43
68,0x44
69,0x45
70,0x46
71,0x47
72,0x48
73,0x49
74,0x4A
75,0x4B
76,0x4C
77,0x4D
78,0x4E
79,0x4F
80,0x50
81,0x51
82,0x52
83,0x53
84,0x54
85,0x55
86,0x56
87,0x57
88,0x58
89,0x59
90,0x5A
91,0x5B
92,0x1B
93,0x1E
94,0x15
95,0x16
96,0x11
97,0x0E
98,0x05
99,0x06
100,0x64
101,0x36
102,0x2F
103,0x32
104,0x33
105,0x35
106,0x6A
107,0x6B
108,0x6C
109,0x6D
110,0x6E
111,0x6F
112,0x70
113,0x71
114,0x72
115,0x73
116,0x04
117,0x75
118,0x76
119,0x5C
120,0x5E
121,0x79
122,0x7A
123,0x03
124,0x7C
125,0x67
126,0x02
127,0x01
128,0x00
129,0x81
130,0x82
131,0x83
132,0x78
133,0x77
134,0x7E
135,0x7D
136,0x88
137,0x89
138,0x8A
139,0x8B
140,0x8C
141,0x8D
142,0x8E
143,0x86
144,0x87
145,0x84
146,0x85
147,0x68
148,0x40
149,0x65
150,0x3E
151,0x39
152,0x66
153,0x5F
154,0x5D
155,0x3B
156,0x3D
157,0x1C
158,0x61
159,0x60
160,0x34
161,0x31
162,0x30
163,0x1D
164,0x20
165,0x19
166,0x18
167,0x2E
168,0x17
169,0x62
170,0x2D
171,0x2C
172,0x2B
173,0x14
174,0x2A
175,0x29
176,0x13
177,0x12
178,0x63
179,0x28
180,0x0F
181,0x27
182,0x26
183,0x10
184,0x0D
185,0x0C
186,0x0B
187,0x25
188,0x0A
189,0x09
190,0x08
191,0x24
192,0x07
193,0x80
194,0x7F
195,0x69
196,0x7B
197,0x74
198,0x23
199,0x22
200,0x21
201,0x91
202,0x1F
203,0x4F
204,0x2A
205,0x92
206,0x4E
207,0x1A
208,0x53
209,0x30
210,0x31
211,0x32
212,0x2C
213,0x2F
214,0x1A
215,0x1F
216,0x1E
217,0x12
218,0x11
219,0x13
220,0x15
221,0x18
222,0x19
223,0x0D
224,0x0E
225,0x10
226,0x11
227,0x12
228,0x14
229,0x15
230,0x0C
231,0x0E
232,0x0F
233,0x09
234,0x0A
235,0x06
236,0x09
237,0x06
238,0x05
239,0x08
240,0x06
241,0x0C
242,0x08
243,0x0A
244,0x07
245,0x09
246,0x06
247,0x04
248,0x06
249,0x02
250,0x02
251,0x03
252,0x03
253,0x03
254,0x03
255,0x02
